SQL_Table_Name;1C_Metadata_Name;Table_Purpose
Reference103.VT2868;Справочник.ВедомостьНаВыплатуЗарплатыПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2873;Справочник.ВедомостьНаВыплатуЗарплатыПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference104;Справочник.ВедомостьУплатыАДВ_11ПрисоединенныеФайлы;Основная
Reference104.VT2894;Справочник.ВедомостьУплатыАДВ_11ПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference104.VT2906;Справочник.ВедомостьУплатыАДВ_11ПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2911;Справочник.ВедомостьУплатыАДВ_11ПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference105;Справочник.ВерсииПоставляемыхРасширений;Основная
ReferenceChngR2915;Справочник.ВерсииПоставляемыхРасширений.Изменения;РегистрацияИзменений
Reference106;Справочник.ВерсииРасширений;Основная
ReferenceChngR2918;Справочник.ВерсииРасширений.Изменения;РегистрацияИзменений
Reference107;Справочник.ВерсииФайлов;Основная
Reference107.VT2935;Справочник.ВерсииФайлов.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
ReferenceChngR2947;Справочник.ВерсииФайлов.Изменения;РегистрацияИзменений
Reference108;Справочник.ВетеринарноСопроводительныйДокументВЕТИС;Основная
Reference108.VT2995;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.УпаковкиВЕТИС;ТабличнаяЧасть
Reference108.VT3001;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.ШтрихкодыУпаковок;ТабличнаяЧасть
Reference108.VT3006;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.Производители;ТабличнаяЧасть
Reference108.VT3010;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.ПроизводственныеПартии;ТабличнаяЧасть
Reference108.VT3013;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.Маршрут;ТабличнаяЧасть
Reference108.VT3025;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.СвязанныеДокументы;ТабличнаяЧасть
Reference108.VT3031;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.ЛабораторныеИсследования;ТабличнаяЧасть
Reference108.VT3042;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.Иммунизация;ТабличнаяЧасть
Reference108.VT3050;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.ИсторияСтатусов;ТабличнаяЧасть
ReferenceChngR3058;Справочник.ВетеринарноСопроводительныйДокументВЕТИС.Изменения;РегистрацияИзменений
Reference109;Справочник.ВЕТИСПрисоединенныеФайлы;Основная
ReferenceChngR3090;Справочник.ВЕТИСПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference110;Справочник.ВзаимозачетПрисоединенныеФайлы;Основная
Reference110.VT3112;Справочник.ВзаимозачетПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference110.VT3122;Справочник.ВзаимозачетПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR3127;Справочник.ВзаимозачетПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference111;Справочник.ВидыАлкогольнойПродукции;Основная
ReferenceChngR3131;Справочник.ВидыАлкогольнойПродукции.Изменения;РегистрацияИзменений
Reference112;Справочник.ВидыВычетовНДФЛ;Основная
ReferenceChngR3143;Справочник.ВидыВычетовНДФЛ.Изменения;РегистрацияИзменений
Reference113;Справочник.ВидыДеятельностиЕНВД;Основная
Reference113.VT3153;Справочник.ВидыДеятельностиЕНВД.КонтактнаяИнформация;ТабличнаяЧасть
Reference113.VT3167;Справочник.ВидыДеятельностиЕНВД.ЗначенияОКУН;ТабличнаяЧасть
ReferenceChngR3170;Справочник.ВидыДеятельностиЕНВД.Изменения;РегистрацияИзменений
Reference114;Справочник.ВидыДисконтныхКарт;Основная
Reference114.VT3185;Справочник.ВидыДисконтныхКарт.ПорогиНакопительныхСкидок;ТабличнаяЧасть
ReferenceChngR3189;Справочник.ВидыДисконтныхКарт.Изменения;РегистрацияИзменений
Reference115;Справочник.ВидыДокументовФизическихЛиц;Основная
ReferenceChngR3194;Справочник.ВидыДокументовФизическихЛиц.Изменения;РегистрацияИзменений
Reference116;Справочник.ВидыДокументовЭДО;Основная
ReferenceChngR3201;Справочник.ВидыДокументовЭДО.Изменения;РегистрацияИзменений
Reference117;Справочник.ВидыДоходовНДФЛ;Основная
ReferenceChngR3213;Справочник.ВидыДоходовНДФЛ.Изменения;РегистрацияИзменений
Reference118;Справочник.ВидыДоходовПоСтраховымВзносам;Основная
ReferenceChngR3226;Справочник.ВидыДоходовПоСтраховымВзносам.Изменения;РегистрацияИзменений
Reference119;Справочник.ВидыДоходовПоСтраховымВзносамУНФ;Основная
ReferenceChngR3231;Справочник.ВидыДоходовПоСтраховымВзносамУНФ.Изменения;РегистрацияИзменений
Reference120;Справочник.ВидыЗаказНарядов;Основная
Reference120.VT3237;Справочник.ВидыЗаказНарядов.ПорядокСостояний;ТабличнаяЧасть
ReferenceChngR3241;Справочник.ВидыЗаказНарядов.Изменения;РегистрацияИзменений
Reference121;Справочник.ВидыЗаказовПокупателей;Основная
Reference121.VT3249;Справочник.ВидыЗаказовПокупателей.ПорядокСостояний;ТабличнаяЧасть
ReferenceChngR3253;Справочник.ВидыЗаказовПокупателей.Изменения;РегистрацияИзменений
Reference122;Справочник.ВидыИспользованияРабочегоВремени;Основная
ReferenceChngR3264;Справочник.ВидыИспользованияРабочегоВремени.Изменения;РегистрацияИзменений
Reference123;Справочник.ВидыКонтактнойИнформации;Основная
Reference123.VT3294;Справочник.ВидыКонтактнойИнформации.Представления;ТабличнаяЧасть
ReferenceChngR3299;Справочник.ВидыКонтактнойИнформации.Изменения;РегистрацияИзменений
Reference124;Справочник.ВидыКонтроля;Основная
Reference124.VT3303;Справочник.ВидыКонтроля.ПараметрыКонтроля;ТабличнаяЧасть
ReferenceChngR3308;Справочник.ВидыКонтроля.Изменения;РегистрацияИзменений
Reference125;Справочник.ВидыМехаГИСМ;Основная
ReferenceChngR3310;Справочник.ВидыМехаГИСМ.Изменения;РегистрацияИзменений
Reference126;Справочник.ВидыНалогов;Основная
ReferenceChngR3320;Справочник.ВидыНалогов.Изменения;РегистрацияИзменений
Reference127;Справочник.ВидыНалоговыхОбязательств;Основная
ReferenceChngR3330;Справочник.ВидыНалоговыхОбязательств.Изменения;РегистрацияИзменений
Reference128;Справочник.ВидыНалоговыхОрганов;Основная
ReferenceChngR3331;Справочник.ВидыНалоговыхОрганов.Изменения;РегистрацияИзменений
Reference129;Справочник.ВидыНачисленийИУдержаний;Основная
ReferenceChngR3340;Справочник.ВидыНачисленийИУдержаний.Изменения;РегистрацияИзменений
Reference130;Справочник.ВидыОбщественноПолезнойДеятельностиСЗВК;Основная
ReferenceChngR3342;Справочник.ВидыОбщественноПолезнойДеятельностиСЗВК.Изменения;РегистрацияИзменений
Reference131;Справочник.ВидыОбязательствНалогоплательщика;Основная
ReferenceChngR3345;Справочник.ВидыОбязательствНалогоплательщика.Изменения;РегистрацияИзменений
Reference133;Справочник.ВидыПлатежей;Основная
ReferenceChngR3361;Справочник.ВидыПлатежей.Изменения;РегистрацияИзменений
Reference134;Справочник.ВидыПлатежныхКарт;Основная
ReferenceChngR3362;Справочник.ВидыПлатежныхКарт.Изменения;РегистрацияИзменений
Reference135;Справочник.ВидыПредпринимательскойДеятельности;Основная
ReferenceChngR3366;Справочник.ВидыПредпринимательскойДеятельности.Изменения;РегистрацияИзменений
Reference136;Справочник.ВидыПроверок;Основная
Reference136.VT3372;Справочник.ВидыПроверок.СвойстваОбъекта;ТабличнаяЧасть
ReferenceChngR3376;Справочник.ВидыПроверок.Изменения;РегистрацияИзменений
Reference137;Справочник.ВидыПроизводства;Основная
Reference137.VT3378;Справочник.ВидыПроизводства.Этапы;ТабличнаяЧасть
ReferenceChngR3381;Справочник.ВидыПроизводства.Изменения;РегистрацияИзменений
Reference138;Справочник.ВидыРабочегоВремени;Основная
ReferenceChngR3384;Справочник.ВидыРабочегоВремени.Изменения;РегистрацияИзменений
Reference139;Справочник.ВидыРасчетовРезервовПоОплатеТруда;Основная
Reference139.VT3391;Справочник.ВидыРасчетовРезервовПоОплатеТруда.ДополнительныеРеквизиты;ТабличнаяЧасть
ReferenceChngR3396;Справочник.ВидыРасчетовРезервовПоОплатеТруда.Изменения;РегистрацияИзменений
Reference140;Справочник.ВидыРесурсовПредприятия;Основная
ReferenceChngR3398;Справочник.ВидыРесурсовПредприятия.Изменения;РегистрацияИзменений
Reference141;Справочник.ВидыСкидокНаценок;Основная
ReferenceChngR3401;Справочник.ВидыСкидокНаценок.Изменения;РегистрацияИзменений
Reference142;Справочник.ВидыТарифовСтраховыхВзносов;Основная
ReferenceChngR3416;Справочник.ВидыТарифовСтраховыхВзносов.Изменения;РегистрацияИзменений
Reference143;Справочник.ВидыТарифовСтраховыхВзносовУНФ;Основная
ReferenceChngR3429;Справочник.ВидыТарифовСтраховыхВзносовУНФ.Изменения;РегистрацияИзменений
Reference144;Справочник.ВидыЦен;Основная
Reference144.VT3457;Справочник.ВидыЦен.ЦеновыеГруппы;ТабличнаяЧасть
Reference144.VT3463;Справочник.ВидыЦен.ПравилаОкругленияЦены;ТабличнаяЧасть
Reference144.VT3468;Справочник.ВидыЦен.ПорогиСрабатывания;ТабличнаяЧасть
ReferenceChngR3474;Справочник.ВидыЦен.Изменения;РегистрацияИзменений
Reference145;Справочник.ВидыЦенКонтрагентов;Основная
ReferenceChngR3479;Справочник.ВидыЦенКонтрагентов.Изменения;РегистрацияИзменений
Reference146;Справочник.ВиртуальныеКаталогиТоваровМагазиновСоцСетей;Основная
ReferenceChngR3483;Справочник.ВиртуальныеКаталогиТоваровМагазиновСоцСетей.Изменения;РегистрацияИзменений
Reference147;Справочник.ВиртуальныеКаталогиТоваровМагазиновСоцСетейПрисоединенныеФайлы;Основная
Reference147.VT3504;Справочник.ВиртуальныеКаталогиТоваровМагазиновСоцСетейПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference147.VT3516;Справочник.ВиртуальныеКаталогиТоваровМагазиновСоцСетейПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR3521;Справочник.ВиртуальныеКаталогиТоваровМагазиновСоцСетейПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference148;Справочник.ВнеоборотныеАктивы;Основная
Reference148.VT3534;Справочник.ВнеоборотныеАктивы.ДополнительныеРеквизиты;ТабличнаяЧасть
ReferenceChngR3539;Справочник.ВнеоборотныеАктивы.Изменения;РегистрацияИзменений
Reference149;Справочник.ВнеоборотныеАктивыПрисоединенныеФайлы;Основная
Reference149.VT3560;Справочник.ВнеоборотныеАктивыПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference149.VT3572;Справочник.ВнеоборотныеАктивыПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR3577;Справочник.ВнеоборотныеАктивыПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference150;Справочник.ВнешниеКомпоненты;Основная
ReferenceChngR3587;Справочник.ВнешниеКомпоненты.Изменения;РегистрацияИзменений
Reference151;Справочник.ВнешниеПользователи;Основная
Reference151.VT3596;Справочник.ВнешниеПользователи.ДополнительныеРеквизиты;ТабличнаяЧасть
ReferenceChngR3601;Справочник.ВнешниеПользователи.Изменения;РегистрацияИзменений
Reference152;Справочник.ВозвратНДФЛПрисоединенныеФайлы;Основная
Reference152.VT3622;Справочник.ВозвратНДФЛПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference152.VT3634;Справочник.ВозвратНДФЛПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR3639;Справочник.ВозвратНДФЛПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference153;Справочник.ВозмещениеБольничныхВЧастиФБПрисоединенныеФайлы;Основная
Reference153.VT3660;Справочник.ВозмещениеБольничныхВЧастиФБПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference153.VT3672;Справочник.ВозмещениеБольничныхВЧастиФБПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR3677;Справочник.ВозмещениеБольничныхВЧастиФБПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference154;Справочник.ВходящийДокументСЭДОФССПрисоединенныеФайлы;Основная
Reference154.VT3698;Справочник.ВходящийДокументСЭДОФССПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference154.VT3710;Справочник.ВходящийДокументСЭДОФССПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR3715;Справочник.ВходящийДокументСЭДОФССПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference155;Справочник.ВходящийЗапросФССДляРасчетаПособияПрисоединенныеФайлы;Основная
Reference155.VT3736;Справочник.ВходящийЗапросФССДляРасчетаПособияПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference155.VT3748;Справочник.ВходящийЗапросФССДляРасчетаПособияПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR3753;Справочник.ВходящийЗапросФССДляРасчетаПособияПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference156;Справочник.ВыплатыСамозанятымПрисоединенныеФайлы;Основная
Reference156.VT3774;Справочник.ВыплатыСамозанятымПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference156.VT3786;Справочник.ВыплатыСамозанятымПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR3791;Справочник.ВыплатыСамозанятымПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference157;Справочник.ВычетыНДФЛ;Основная
ReferenceChngR3800;Справочник.ВычетыНДФЛ.Изменения;РегистрацияИзменений
Reference158;Справочник.ГИСМПрисоединенныеФайлы;Основная
ReferenceChngR3830;Справочник.ГИСМПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference159;Справочник.ГрафикиРаботы;Основная
Reference159.VT3841;Справочник.ГрафикиРаботы.УдалитьПериоды;ТабличнаяЧасть
Reference159.VT3846;Справочник.ГрафикиРаботы.РасписаниеРаботы;ТабличнаяЧасть
Reference159.VT3855;Справочник.ГрафикиРаботы.Перерывы;ТабличнаяЧасть
Reference159.VT3861;Справочник.ГрафикиРаботы.ШаблоныПоГоду;ТабличнаяЧасть
Reference159.VT3867;Справочник.ГрафикиРаботы.ДополнительныеНастройкиЗаполнения;ТабличнаяЧасть
Reference159.VT3874;Справочник.ГрафикиРаботы.ПериодыДополнительныхНастроекЗаполнения;ТабличнаяЧасть
Reference159.VT3881;Справочник.ГрафикиРаботы.ПериодыГрафика;ТабличнаяЧасть
ReferenceChngR3888;Справочник.ГрафикиРаботы.Изменения;РегистрацияИзменений
Reference160;Справочник.ГруппыАдреснойКниги;Основная
ReferenceChngR3891;Справочник.ГруппыАдреснойКниги.Изменения;РегистрацияИзменений
Reference161;Справочник.ГруппыВнешнихПользователей;Основная
Reference161.VT3894;Справочник.ГруппыВнешнихПользователей.Состав;ТабличнаяЧасть
Reference161.VT3897;Справочник.ГруппыВнешнихПользователей.Роли;ТабличнаяЧасть
Reference161.VT3900;Справочник.ГруппыВнешнихПользователей.Назначение;ТабличнаяЧасть
ReferenceChngR3904;Справочник.ГруппыВнешнихПользователей.Изменения;РегистрацияИзменений
Reference162;Справочник.ГруппыДоступа;Основная
Reference162.VT3910;Справочник.ГруппыДоступа.Пользователи;ТабличнаяЧасть
Reference162.VT3914;Справочник.ГруппыДоступа.ВидыДоступа;ТабличнаяЧасть
Reference162.VT3918;Справочник.ГруппыДоступа.ЗначенияДоступа;ТабличнаяЧасть
ReferenceChngR3924;Справочник.ГруппыДоступа.Изменения;РегистрацияИзменений
Reference163;Справочник.ГруппыДоступаКонтрагентов;Основная
ReferenceChngR3926;Справочник.ГруппыДоступаКонтрагентов.Изменения;РегистрацияИзменений
Reference164;Справочник.ГруппыДоступаЛидов;Основная
ReferenceChngR3928;Справочник.ГруппыДоступаЛидов.Изменения;РегистрацияИзменений
Reference165;Справочник.ГруппыДоступаФизическихЛиц;Основная
ReferenceChngR3929;Справочник.ГруппыДоступаФизическихЛиц.Изменения;РегистрацияИзменений
Reference166;Справочник.ГруппыИсполнителейЗадач;Основная
ReferenceChngR3933;Справочник.ГруппыИсполнителейЗадач.Изменения;РегистрацияИзменений
Reference167;Справочник.ГруппыПользователей;Основная
Reference167.VT3935;Справочник.ГруппыПользователей.Состав;ТабличнаяЧасть
ReferenceChngR3939;Справочник.ГруппыПользователей.Изменения;РегистрацияИзменений
Reference168;Справочник.ГруппыТиповОпераций;Основная
ReferenceChngR3943;Справочник.ГруппыТиповОпераций.Изменения;РегистрацияИзменений
Reference169;Справочник.ДанныеОКорректировкеСведенийЗастрахованныхЛицСЗВ_КОРРПрисоединенныеФайлы;Основная
Reference169.VT3964;Справочник.ДанныеОКорректировкеСведенийЗастрахованныхЛицСЗВ_КОРРПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference169.VT3976;Справочник.ДанныеОКорректировкеСведенийЗастрахованныхЛицСЗВ_КОРРПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR3981;Справочник.ДанныеОКорректировкеСведенийЗастрахованныхЛицСЗВ_КОРРПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference170;Справочник.ДействияРабочегоПроцесса;Основная
Reference170.VT3986;Справочник.ДействияРабочегоПроцесса.НастройкиЗаполнения;ТабличнаяЧасть
ReferenceChngR3991;Справочник.ДействияРабочегоПроцесса.Изменения;РегистрацияИзменений
Reference171;Справочник.Делегирование;Основная
ReferenceChngR3997;Справочник.Делегирование.Изменения;РегистрацияИзменений
Reference172;Справочник.ДепонированиеЗарплатыПрисоединенныеФайлы;Основная
Reference172.VT4018;Справочник.ДепонированиеЗарплатыПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference172.VT4030;Справочник.ДепонированиеЗарплатыПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
